step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
126,200128,4032,0.023478374398037734,0.84375,0.84375,,,,,
127,201696,4064,0.027010949378335453,0.75,0.75,,,,,
128,203520,4096,0.018677766331488134,0.84375,0.84375,,,,,
129,205088,4128,0.026953622467298526,0.6875,0.6875,0.020919741246500183,0.8125,0.8125,,
130,206656,4160,0.026937862784171405,0.71875,0.71875,,,,,
131,208224,4192,0.02209836924318817,0.6875,0.6875,,,,,
132,209792,4224,0.02980393253092567,0.71875,0.71875,,,,,
133,211360,4256,0.031088913432483118,0.65625,0.65625,,,,,
134,213184,4288,0.025834781341648717,0.625,0.625,,,,,
135,214752,4320,0.028433723589347062,0.75,0.75,,,,,
136,216576,4352,0.0312582518471275,0.6875,0.6875,,,,,
137,218144,4384,0.02736257829447444,0.78125,0.78125,0.036538602708362754,0.53125,0.53125,,
138,219712,4416,0.026407725652683595,0.75,0.75,,,,,
139,221280,4448,0.027877805488137713,0.78125,0.78125,,,,,
140,222848,4480,0.025769186643386014,0.75,0.75,,,,,
141,224416,4512,0.027229609491743457,0.78125,0.78125,,,,,
142,225984,4544,0.02134249778177567,0.8125,0.8125,,,,,
143,228064,4576,0.02182436949043506,0.625,0.625,,,,,
144,229632,4608,0.028796176614160535,0.6875,0.6875,,,,,
145,231200,4640,0.028722258939243756,0.5625,0.5625,0.01928435362489121,0.875,0.875,,
146,232512,4672,0.03295482671077389,0.75,0.75,,,,,
147,233824,4704,0.03246749330991861,0.6875,0.6875,,,,,
148,235392,4736,0.024846077632675666,0.71875,0.71875,,,,,
149,236704,4768,0.02712312216652072,0.8125,0.8125,,,,,
150,238272,4800,0.021213178776231415,0.84375,0.84375,,,,,
151,239840,4832,0.036387468069159094,0.625,0.625,,,,,
152,241408,4864,0.024886000012033185,0.71875,0.71875,,,,,
153,242720,4896,0.029893052034599348,0.75,0.75,0.032447493603746505,0.6875,0.6875,,
154,244032,4928,0.03103903484996772,0.75,0.75,,,,,
155,246112,4960,0.01651026798062503,0.8125,0.8125,,,,,
156,247680,4992,0.028259543215732874,0.71875,0.71875,,,,,
157,249248,5024,0.031014879221744802,0.65625,0.65625,,,,,
158,250816,5056,0.029609626315308335,0.6875,0.6875,,,,,
159,252384,5088,0.024749814544331155,0.75,0.75,,,,,
160,254208,5120,0.026537162363594817,0.71875,0.71875,,,,,
161,255776,5152,0.03577422427277801,0.46875,0.46875,0.036010740368192275,0.59375,0.59375,,
162,257344,5184,0.03188325309783295,0.625,0.625,,,,,
163,258912,5216,0.026475285043785563,0.6875,0.6875,,,,,
164,260480,5248,0.019458432191728058,0.8125,0.8125,,,,,
165,261792,5280,0.031700089512721207,0.71875,0.71875,,,,,
166,263616,5312,0.020648266098984812,0.8125,0.8125,,,,,
167,264928,5344,0.03272178341177187,0.6875,0.6875,,,,,
168,266496,5376,0.031009530409125994,0.59375,0.59375,,,,,
169,268320,5408,0.020227294657493074,0.71875,0.71875,0.03286114675381987,0.75,0.75,,
170,269632,5440,0.03002210501783793,0.8125,0.8125,,,,,
171,271200,5472,0.02637369595644486,0.65625,0.65625,,,,,
172,272768,5504,0.028103336979139613,0.59375,0.59375,,,,,
173,274336,5536,0.021568285987290964,0.75,0.75,,,,,
174,275904,5568,0.027920373159981485,0.71875,0.71875,,,,,
175,277472,5600,0.03128199137291669,0.71875,0.71875,,,,,
176,279040,5632,0.026324093302135528,0.78125,0.78125,,,,,
177,280608,5664,0.03315386690630665,0.625,0.625,0.03256434723696752,0.6875,0.6875,,
178,282176,5696,0.02569452377200605,0.6875,0.6875,,,,,
179,283744,5728,0.023765486992480572,0.8125,0.8125,,,,,
180,285056,5760,0.02927865183062568,0.78125,0.78125,,,,,
181,286368,5792,0.021602397938613647,0.84375,0.84375,,,,,
182,287936,5824,0.02702902406000211,0.75,0.75,,,,,
183,289248,5856,0.032341520036800374,0.84375,0.84375,,,,,
184,291328,5888,0.023318859914510028,0.625,0.625,,,,,
185,292640,5920,0.029842145139838523,0.75,0.75,0.019437299838894737,0.9375,0.9375,,
186,294208,5952,0.026813368772842894,0.65625,0.65625,,,,,
187,295776,5984,0.021606422571040673,0.75,0.75,,,,,
188,297344,6016,0.0292673801995799,0.71875,0.71875,,,,,
189,298912,6048,0.026350034314083743,0.65625,0.65625,,,,,
190,300480,6080,0.028163402550890167,0.65625,0.65625,,,,,
191,302048,6112,0.03029809540453395,0.65625,0.65625,,,,,
192,303616,6144,0.023506595654055218,0.78125,0.78125,,,,,
193,305184,6176,0.023560665972538572,0.84375,0.84375,0.027272753888964302,0.78125,0.78125,,
194,306496,6208,0.03322495608202099,0.71875,0.71875,,,,,
195,308064,6240,0.02822970237716542,0.65625,0.65625,,,,,
196,309632,6272,0.02509561877063675,0.78125,0.78125,,,,,
197,311456,6304,0.019164367036749223,0.84375,0.84375,,,,,
198,313024,6336,0.023351316563944995,0.8125,0.8125,,,,,
199,314336,6368,0.02624357628043799,0.90625,0.90625,,,,,
200,315904,6400,0.021827171830273454,0.78125,0.78125,,,,,
201,317472,6432,0.020921429839175592,0.875,0.875,0.021077536981559886,0.875,0.875,,
202,319040,6464,0.022673992969170154,0.78125,0.78125,,,,,
203,320352,6496,0.023548210643150814,0.8125,0.8125,,,,,
204,321664,6528,0.028339920333849022,0.84375,0.84375,,,,,
205,322976,6560,0.03016560129740583,0.71875,0.71875,,,,,
206,324544,6592,0.021578246176338023,0.78125,0.78125,,,,,
207,326368,6624,0.02896207101253286,0.78125,0.78125,,,,,
208,327936,6656,0.02645564467373011,0.78125,0.78125,,,,,
209,329504,6688,0.021438314242939117,0.8125,0.8125,0.01912942439370075,0.9375,0.9375,,
210,331328,6720,0.027482641256547584,0.6875,0.6875,,,,,
211,333152,6752,0.022360823863600342,0.625,0.625,,,,,
212,334720,6784,0.025123742077393364,0.8125,0.8125,,,,,
213,336288,6816,0.033423992705324965,0.59375,0.59375,,,,,
214,337600,6848,0.02207969283067746,0.84375,0.84375,,,,,
215,339168,6880,0.024399209697701093,0.75,0.75,,,,,
216,340736,6912,0.029269560561454567,0.625,0.625,,,,,
217,342304,6944,0.023916291820767512,0.75,0.75,0.02639309875362244,0.75,0.75,,
218,343872,6976,0.02516454283626975,0.71875,0.71875,,,,,
219,345440,7008,0.026006314812206412,0.78125,0.78125,,,,,
220,347008,7040,0.02397774290138803,0.75,0.75,,,,,
221,348320,7072,0.02817581259459757,0.8125,0.8125,,,,,
222,349632,7104,0.03479835482160149,0.71875,0.71875,,,,,
223,350944,7136,0.03094720166183947,0.78125,0.78125,,,,,
224,352512,7168,0.021742977929481905,0.84375,0.84375,,,,,
225,354080,7200,0.022860643313367273,0.78125,0.78125,0.015797868730432256,0.90625,0.90625,,
226,355648,7232,0.022584323082472227,0.84375,0.84375,,,,,
227,357472,7264,0.021810444213678903,0.84375,0.84375,,,,,
228,359040,7296,0.026502397470182192,0.71875,0.71875,,,,,
229,360608,7328,0.02328299612353969,0.75,0.75,,,,,
230,362176,7360,0.026372632764378356,0.75,0.75,,,,,
231,363488,7392,0.03170983882214443,0.78125,0.78125,,,,,
232,365056,7424,0.02758904562327975,0.71875,0.71875,,,,,
233,366624,7456,0.03209996101517191,0.71875,0.71875,0.021349261203588793,0.8125,0.8125,,
234,368192,7488,0.025246476422005254,0.71875,0.71875,,,,,
235,369760,7520,0.02773144188774017,0.75,0.75,,,,,
236,371328,7552,0.0284918571881651,0.6875,0.6875,,,,,
237,373152,7584,0.02575660818604234,0.65625,0.65625,,,,,
238,374720,7616,0.02483296822611086,0.8125,0.8125,,,,,
239,376288,7648,0.017880446594836313,0.90625,0.90625,,,,,
240,377600,7680,0.02793936861749091,0.8125,0.8125,,,,,
241,379424,7712,0.020261369309267578,0.8125,0.8125,0.029490659550369176,0.78125,0.78125,,
242,380992,7744,0.02434616769044576,0.78125,0.78125,,,,,
243,382304,7776,0.023509391677116128,0.84375,0.84375,,,,,
244,384128,7808,0.022897182372635796,0.78125,0.78125,,,,,
245,385696,7840,0.02735909848130026,0.8125,0.8125,,,,,
246,387520,7872,0.019264572021267756,0.875,0.875,,,,,
247,389088,7904,0.02796280331561396,0.65625,0.65625,,,,,
248,390656,7936,0.02557427397271586,0.71875,0.71875,,,,,
249,391968,7968,0.02631663749608788,0.84375,0.84375,0.0267958795995681,0.75,0.75,,
250,393536,8000,0.02341388380058267,0.78125,0.78125,,,,,
251,395104,8032,0.022502661912984504,0.84375,0.84375,,,,,
252,396416,8064,0.03024794391079365,0.875,0.875,,,,,
253,397984,8096,0.022159222803017447,0.8125,0.8125,,,,,
254,399552,8128,0.02556063782624141,0.71875,0.71875,,,,,
255,401120,8160,0.023388016644108233,0.84375,0.84375,,,,,
256,402688,8192,0.020894080336426743,0.90625,0.90625,,,,,
257,404256,8224,0.02314723813018105,0.8125,0.8125,0.027561831519006492,0.84375,0.84375,,
258,405824,8256,0.024974949124578955,0.78125,0.78125,,,,,
259,407648,8288,0.024179824881237395,0.6875,0.6875,,,,,
260,409216,8320,0.026758339994762015,0.75,0.75,,,,,
261,410784,8352,0.030112600061498063,0.625,0.625,,,,,
262,412352,8384,0.02827784608419601,0.65625,0.65625,,,,,
263,413920,8416,0.02572251961697854,0.78125,0.78125,,,,,
264,415488,8448,0.02418867498174251,0.8125,0.8125,,,,,
265,417056,8480,0.024932313691166382,0.78125,0.78125,0.019217525519695564,0.875,0.875,,
266,418624,8512,0.027256334705070676,0.71875,0.71875,,,,,
267,420192,8544,0.024140916210535487,0.6875,0.6875,,,,,
268,421760,8576,0.022490515350310433,0.84375,0.84375,,,,,
269,423072,8608,0.032084139184207286,0.6875,0.6875,,,,,
270,424640,8640,0.021061828159669366,0.875,0.875,,,,,
271,426208,8672,0.03330191466366294,0.625,0.625,,,,,
272,427520,8704,0.02966395215170257,0.75,0.75,,,,,
273,429088,8736,0.0294092222371304,0.59375,0.59375,0.01924733708701467,0.875,0.875,,
274,430656,8768,0.02434107864615868,0.78125,0.78125,,,,,
275,432224,8800,0.02590158138573931,0.59375,0.59375,,,,,
276,433792,8832,0.019302196783397486,0.9375,0.9375,,,,,
